#,Add I,POS I,Component I,POS II,Component II,Add II
1,,adj,abstract,n,concept,
2,,adj,academic,n,achievement,
3,,adj,academic,n,career,
4,(in),adj,academic,n,circles,
5,,adj,academic,n,community,
6,,adj,academic,n,debate,
7,,adj,academic,n,discipline,
8,,adj,academic,n,discourse,
9,,adj,academic,n,institution,
10,,adj,academic,n,journal,
11,,adj,academic,n,life,
12,,adj,academic,n,performance,
13,,adj,academic,n,research,
14,,adj,academic,n,skills,
15,,adj,academic,n,study,
16,,adj,academic,n,success,
17,,adj,academic,n,work,
18,,adj,academic,n,world,
19,,adj,academic,n,writing,
20,,adj,academic,n,year,
21,,v,accept,n,responsibility,
22,,adj,acceptable,n,behaviour,
23,,adj,accurate,n,assessment,
24,,adj,accurate,n,description,
25,,adj,accurate,n,information,
26,,adj,accurate,n,measurement,
27,,adj,accurate,n,picture,
28,,adj,accurate,n,record,
29,,v,achieve,n,(a) goal,
30,,v,achieve,n,(an) objective,
31,,v,achieve,n,(an) outcome,
32,,v,acquire,n,knowledge,
33,,adj,active,n,involvement,
34,,adj,active,n,participant,
35,,adj,active,n,participation,
36,,adj,active,n,role,
37,(be),adv,actively,vpp,involved,
38,,adv,acutely,adj,aware,(of)
39,,v,add,n,information,
40,,adj,additional,n,cost,
41,,adj,additional,n,information,
42,,adj,additional,n,problem,
43,,adj,additional,n,resources,
44,,adj,additional,n,support,
45,,v,address,n,(an) issue,
46,,adj,administrative,n,practices,
47,,v,adopt,n,(a) procedure,
48,,v,adopt,n,(an) approach,
49,,adj,advanced,n,economy,
50,,adj,advanced,n,technology,
51,,adj,adverse,n,effect,
52,,adj,adverse,n,reaction,
53,,adv,adversely,v,affect,
54,,v ,affect,n,(the) outcome,
55,,v,affect,n,(the) development,(of)
56,,v,allocate,n,resources,
57,,v,allow ,n,access,(to)
58,,adv,almost,adj,identical,
59,,adj,alternative,n,approach,
60,,adj,alternative,n,explanation,
61,,adj,alternative,n,form,
62,,adj,alternative,n,interpretation,
63,,adj,alternative,n,means,
64,,adj,alternative,n,method,
65,,adj,alternative,n,model,
66,,adj,alternative,n,solution,
67,,adj,alternative,n,source,
68,,adj,alternative,n,strategy,
69,,adj,alternative,n,view,
70,,adj,alternative,n,way,
71,(be),adj,ample,n,evidence,
72,,adj,analytical,n,approach,
73,,adj,analytical,n,tool,
74,,adj,anecdotal,n,evidence,
75,,adj,annual,n,conference,
76,,adj,annual,n,meeting,
77,,adj,annual,n,rate,
78,,adj,annual,n,report,
79,,adj,annual,n,review,
80,,v,apply,adv,equally,
81,,v,apply,n,(a) method,
82,,v,apply,n,(the) theory,
83,,adj,appropriate,n,action,
84,,adj,appropriate,n,behaviour,
85,,adj,appropriate,n,conditions,
86,,adj,appropriate,n,data,
87,,adj,appropriate,n,form,
88,,adj,appropriate,n,language,
89,,adj,appropriate,n,level,
90,,adj,appropriate,n,point,
91,,adj,appropriate,n,response,
92,,adj,appropriate,n,skills,
93,,adj,appropriate,n,treatment,
94,,adj,appropriate,n,way,
95,,adj,armed,n,conflict,
96,,adj,artificial,n,intelligence,
97,,v,assess,n,(the) impact,(of)
98,(the),n,assessment,n,process,
99,,adj,associated,n,factors,
100,,v,assume,n,responsibility,
